test_number;number_of_records;add_time;search_time;remove_time
1;2000;0;0;0
2;4000;0;0;0
3;6000;16;0;0
4;8000;15;0;0
5;10000;15;7;0
6;12000;15;16;0
7;14000;16;16;0
8;16000;31;0;16
9;18000;38;0;16
10;20000;31;7;16
11;22000;31;16;16
12;24000;31;0;15
13;26000;46;16;16
14;28000;31;0;16
15;30000;32;16;22
16;32000;54;15;16
17;34000;54;0;16
18;36000;47;0;22
19;38000;62;16;15
20;40000;69;16;31
21;42000;85;15;32
22;44000;63;15;20
23;46000;85;15;32
24;48000;63;16;16
25;50000;85;31;22
26;52000;69;16;38
27;54000;84;16;39
28;56000;83;22;41
29;58000;100;16;31
30;60000;101;15;22
31;62000;85;25;40
32;64000;101;21;38
33;66000;101;20;30
34;68000;104;30;41
35;70000;112;30;31
36;72000;103;30;41
37;74000;100;22;47
38;76000;116;38;47
39;78000;116;31;39
40;80000;123;41;43
41;82000;131;54;47
42;84000;125;40;60
43;86000;132;41;51
44;88000;132;30;51
45;90000;138;32;38
46;92000;147;40;60
47;94000;141;41;51
48;96000;151;39;53
49;98000;152;48;61
50;100000;152;40;61
