test_number;number_of_records;add_time;search_time;remove_time
1;2000;0;0;16
2;4000;0;15;16
3;6000;0;0;32
4;8000;0;16;47
5;10000;16;0;78
6;12000;15;0;94
7;14000;15;16;94
8;16000;15;16;109
9;18000;15;16;125
10;20000;32;15;141
11;22000;31;16;156
12;24000;31;16;172
13;26000;47;15;188
14;28000;46;16;187
15;30000;47;31;203
16;32000;47;31;219
17;34000;47;31;250
18;36000;63;31;265
19;38000;63;31;265
20;40000;63;31;281
21;42000;62;31;297
22;44000;79;31;297
23;46000;78;47;329
24;48000;62;31;328
25;50000;78;62;344
26;52000;94;47;359
27;54000;78;47;375
28;56000;94;62;375
29;58000;94;63;390
30;60000;94;62;406
31;62000;93;62;407
32;64000;110;63;406
33;66000;109;62;422
34;68000;116;78;438
35;70000;125;78;453
36;72000;125;79;453
37;74000;125;78;453
38;76000;125;79;469
39;78000;141;78;485
40;80000;140;78;484
41;82000;140;94;516
42;84000;156;94;515
43;86000;156;94;515
44;88000;156;109;531
45;90000;156;94;531
46;92000;156;94;563
47;94000;156;109;563
48;96000;172;109;562
49;98000;171;109;578
50;100000;188;110;579
