test_number;number_of_records;add_time;search_time;remove_time
1;2000;15;16;0
2;4000;31;63;31
3;6000;63;141;78
4;8000;125;281;125
5;10000;203;468;235
6;12000;328;719;343
7;14000;438;1016;500
8;16000;609;1406;688
9;18000;797;1828;907
10;20000;1031;2344;1141
11;22000;1266;2891;1406
12;24000;1563;3531;1735
13;26000;1890;4235;2078
14;28000;2219;4984;2422
15;30000;2609;5860;2859
16;32000;3031;6703;3297
17;34000;3468;7828;3782
18;36000;3953;8813;4234
19;38000;4469;10141;4859
20;40000;5109;11672;5453
21;42000;5594;12891;6078
22;44000;6328;14703;6813
23;46000;7047;16672;7688
24;48000;7844;18750;8437
25;50000;8609;20719;9375
